Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
5056,False,5036.0,https://www.facebook.com/BouleCoin/,Boulé,Facebook,cryptocompare,BOU,241804,2.0,2017-12-30 17:56:01.736136
3132,False,3052.0,https://www.facebook.com/Boxycoin/,BoxyCoin        BOXY,Facebook,cryptocompare,BOXY,465681,8.0,2017-12-30 17:56:39.177681
557,False,527.0,https://www.facebook.com/blockpool.io/,BlockPool,Facebook,cryptocompare,BPL,384729,3.0,2017-12-30 17:56:25.634675
1441,False,1341.0,https://www.facebook.com/bitqyofficial/,Bitqy,Facebook,cryptocompare,BQ,340125,10.0,2017-12-30 17:56:18.538353
0,,,,,Facebook,cryptocompare,BQC,4343,,2017-12-30 17:56:31.517411
12015,False,5655.0,https://www.facebook.com/ethosplatform/,Ethos,Facebook,cryptocompare,BQX,141464,636.0,2017-12-30 17:55:42.983338
0,,,,,Facebook,cryptocompare,BRAIN,30373,,2017-12-30 17:56:11.895528
0,,,,,Facebook,cryptocompare,BRAT,357734,,2017-12-30 17:56:19.835334
3633,False,1843.0,https://www.facebook.com/breadapp/,breadwallet,Facebook,cryptocompare,BRD,543502,179.0,2017-12-30 17:56:45.780042
0,,,,,Facebook,cryptocompare,BRDD,33875,,2017-12-30 17:56:18.424820
250,False,210.0,https://www.facebook.com/BritCoinUK/,Britcoin,Facebook,cryptocompare,BRIT,182416,4.0,2017-12-30 17:55:45.551193
52715,False,52415.0,https://www.facebook.com/breakoutandwin/,Breakout Gaming,Facebook,cryptocompare,BRK,20892,30.0,2017-12-30 17:55:53.159805
0,,,,,Facebook,cryptocompare,BRO,234982,,2017-12-30 17:56:01.290512
0,,,,,Facebook,cryptocompare,BRONZ,28888,,2017-12-30 17:56:08.307238
52715,False,52415.0,https://www.facebook.com/breakoutandwin/,Breakout Gaming,Facebook,cryptocompare,BRX,299415,30.0,2017-12-30 17:56:10.309686
0,,,,,Facebook,cryptocompare,BS,30175,,2017-12-30 17:56:10.929685
0,,,,,Facebook,cryptocompare,BSC,7482,,2017-12-30 17:56:50.599179
0,,,,,Facebook,cryptocompare,BSD,22329,,2017-12-30 17:55:58.821959
0,,,,,Facebook,cryptocompare,BST,15272,,2017-12-30 17:55:42.896215
0,,,,,Facebook,cryptocompare,BSTAR,35684,,2017-12-30 17:56:19.916108
0,,,,,Facebook,cryptocompare,BSTK,57466,,2017-12-30 17:56:46.732938
0,,,,,Facebook,cryptocompare,BSTY,6100,,2017-12-30 17:56:47.162976
0,,,,,Facebook,cryptocompare,BT,249784,,2017-12-30 17:56:02.653872
0,,,,,Facebook,cryptocompare,BT1,364317,,2017-12-30 17:56:22.073150
